Caption,Description,Identifying Number,Install Date,Install Location,Install State,Name,Package Cache,SKU Number,Vendor,Version
visionapp Remote Desktop,visionapp Remote Desktop,{DEC61338-62B5-454A-AAB2-71D612277798},,,5,visionapp Remote Desktop,C:\Windows\Installer\17cdec.msi,,visionapp,1.5.0
Microsoft Office Enterprise 2007,Microsoft Office Enterprise 2007,{90120000-0030-0000-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Enterprise 2007,C:\Windows\Installer\166fe.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Visual Web Developer 2007,Microsoft Office Visual Web Developer 2007,{90120000-0021-0000-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Visual Web Developer 2007,C:\Windows\Installer\a231c.msi,,Microsoft Corporation,12.0.4518.1066
Microsoft Office Visual Web Developer MUI (English) 2007,Microsoft Office Visual Web Developer MUI (English) 2007,{90120000-0021-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Visual Web Developer MUI (English) 2007,C:\Windows\Installer\a2315.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Visio Professional 2007,Microsoft Office Visio Professional 2007,{90120000-0051-0000-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Visio Professional 2007,C:\Windows\Installer\ec1953.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office OneNote MUI (English) 2007,Microsoft Office OneNote MUI (English) 2007,{90120000-00A1-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office OneNote MUI (English) 2007,C:\Windows\Installer\166f6.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Save as PDF or XPS Add-in for 2007 Microsoft Office programs,Microsoft Save as PDF or XPS Add-in for 2007 Microsoft Office programs,{90120000-00B2-0409-0000-0000000FF1CE},,,5,Microsoft Save as PDF or XPS Add-in for 2007 Microsoft Office programs,C:\Windows\Installer\16748.msi,,Microsoft Corporation,12.0.4518.1014
Microsoft Office Groove Setup Metadata MUI (English) 2007,Microsoft Office Groove Setup Metadata MUI (English) 2007,{90120000-0114-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Groove Setup Metadata MUI (English) 2007,C:\Windows\Installer\166c2.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office InfoPath MUI (English) 2007,Microsoft Office InfoPath MUI (English) 2007,{90120000-0044-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office InfoPath MUI (English) 2007,C:\Windows\Installer\166c7.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Visio MUI (English) 2007,Microsoft Office Visio MUI (English) 2007,{90120000-0054-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Visio MUI (English) 2007,C:\Windows\Installer\ec1916.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office 2003 Web Components,Microsoft Office 2003 Web Components,{90120000-00A4-0409-0000-0000000FF1CE},,,5,Microsoft Office 2003 Web Components,C:\Windows\Installer\e17f37.msi,,Microsoft Corporation,12.0.6213.1000
Microsoft Office Project MUI (English) 2007,Microsoft Office Project MUI (English) 2007,{90120000-00B4-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Project MUI (English) 2007,C:\Windows\Installer\1354614.msi,,Microsoft Corporation,12.0.4518.1014
Microsoft Office Access MUI (English) 2007,Microsoft Office Access MUI (English) 2007,{90120000-0015-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Access MUI (English) 2007,C:\Windows\Installer\166ec.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Shared Setup Metadata MUI (English) 2007,Microsoft Office Shared Setup Metadata MUI (English) 2007,{90120000-0115-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Shared Setup Metadata MUI (English) 2007,C:\Windows\Installer\166a9.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Excel MUI (English) 2007,Microsoft Office Excel MUI (English) 2007,{90120000-0016-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Excel MUI (English) 2007,C:\Windows\Installer\166ae.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Access Setup Metadata MUI (English) 2007,Microsoft Office Access Setup Metadata MUI (English) 2007,{90120000-0117-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Access Setup Metadata MUI (English) 2007,C:\Windows\Installer\166f1.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office PowerPoint MUI (English) 2007,Microsoft Office PowerPoint MUI (English) 2007,{90120000-0018-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office PowerPoint MUI (English) 2007,C:\Windows\Installer\166b8.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Publisher MUI (English) 2007,Microsoft Office Publisher MUI (English) 2007,{90120000-0019-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Publisher MUI (English) 2007,C:\Windows\Installer\166e2.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Outlook MUI (English) 2007,Microsoft Office Outlook MUI (English) 2007,{90120000-001A-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Outlook MUI (English) 2007,C:\Windows\Installer\166b3.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Project Standard 2007,Microsoft Office Project Standard 2007,{90120000-003A-0000-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Project Standard 2007,C:\Windows\Installer\135465c.msi,,Microsoft Corporation,12.0.4518.1014
Microsoft Office Groove MUI (English) 2007,Microsoft Office Groove MUI (English) 2007,{90120000-00BA-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Groove MUI (English) 2007,C:\Windows\Installer\166bd.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Word MUI (English) 2007,Microsoft Office Word MUI (English) 2007,{90120000-001B-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Word MUI (English) 2007,C:\Windows\Installer\166e7.msi,,Microsoft Corporation,12.0.6425.1000
Microsoft Office Proofing (English) 2007,Microsoft Office Proofing (English) 2007,{90120000-002C-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Proofing (English) 2007,C:\Windows\Installer\166dd.msi,,Microsoft Corporation,12.0.4518.1014
Microsoft Office Shared MUI (English) 2007,Microsoft Office Shared MUI (English) 2007,{90120000-006E-0409-0000-0000000FF1CE},,C:\Program Files\Microsoft Office\,5,Microsoft Office Shared MUI (English) 2007,C:\Windows\Installer\166a4.msi,,Microsoft Corporation,12.0.6425.1000
